DAP_1	DAP_1_1.fastq.gz	DAP_1_2.fastq.gz
DAP_2	DAP_2_1.fastq.gz	DAP_2_2.fastq.gz
DAP_3	DAP_3_1.fastq.gz	DAP_3_2.fastq.gz
DAP_4	DAP_4_1.fastq.gz	DAP_4_2.fastq.gz
DAP_5	DAP_5_1.fastq.gz	DAP_5_2.fastq.gz
DAP_6	DAP_6_1.fastq.gz	DAP_6_2.fastq.gz
DAP_7	DAP_7_1.fastq.gz	DAP_7_2.fastq.gz
DAP_10	DAP_10_1.fastq.gz	DAP_10_2.fastq.gz
DAP_12	DAP_12_1.fastq.gz	DAP_12_2.fastq.gz
DAP_13	DAP_13_1.fastq.gz	DAP_13_2.fastq.gz
DAP_14	DAP_14_1.fastq.gz	DAP_14_2.fastq.gz
DAP_15	DAP_15_1.fastq.gz	DAP_15_2.fastq.gz
DAP_16	DAP_16_1.fastq.gz	DAP_16_2.fastq.gz
DAP_17	DAP_17_1.fastq.gz	DAP_17_2.fastq.gz
DAP_18	DAP_18_1.fastq.gz	DAP_18_2.fastq.gz
DAP_19	DAP_19_1.fastq.gz	DAP_19_2.fastq.gz
DAP_20	DAP_20_1.fastq.gz	DAP_20_2.fastq.gz
DAP_22	DAP_22_1.fastq.gz	DAP_22_2.fastq.gz
DAP_23	DAP_23_1.fastq.gz	DAP_23_2.fastq.gz
DAP_24	DAP_24_1.fastq.gz	DAP_24_2.fastq.gz
DAP_25	DAP_25_1.fastq.gz	DAP_25_2.fastq.gz
DAP_28	DAP_28_1.fastq.gz	DAP_28_2.fastq.gz
DAP_29	DAP_29_1.fastq.gz	DAP_29_2.fastq.gz
DAP_30	DAP_30_1.fastq.gz	DAP_30_2.fastq.gz
DAP_31	DAP_31_1.fastq.gz	DAP_31_2.fastq.gz
DAP_32	DAP_32_1.fastq.gz	DAP_32_2.fastq.gz
DAP_33	DAP_33_1.fastq.gz	DAP_33_2.fastq.gz
DAP_34	DAP_34_1.fastq.gz	DAP_34_2.fastq.gz
DAP_35	DAP_35_1.fastq.gz	DAP_35_2.fastq.gz
DAP_36	DAP_36_1.fastq.gz	DAP_36_2.fastq.gz
DAP_37	DAP_37_1.fastq.gz	DAP_37_2.fastq.gz
DAP_38	DAP_38_1.fastq.gz	DAP_38_2.fastq.gz
DAP_39	DAP_39_1.fastq.gz	DAP_39_2.fastq.gz
DAP_40	DAP_40_1.fastq.gz	DAP_40_2.fastq.gz
DAP_44	DAP_44_1.fastq.gz	DAP_44_2.fastq.gz
DAP_45	DAP_45_1.fastq.gz	DAP_45_2.fastq.gz
DAP_46	DAP_46_1.fastq.gz	DAP_46_2.fastq.gz
DAP_47	DAP_47_1.fastq.gz	DAP_47_2.fastq.gz
DAP_52	inputDAP_52_1.fastq.gz	inputDAP_52_2.fastq.gz
DAP_53	inputDAP_53_1.fastq.gz	inputDAP_53_2.fastq.gz
DAP_54	inputDAP_54_1.fastq.gz	inputDAP_54_2.fastq.gz
